,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,Country,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,BBI_wickets,BBI_runs,career_span_yrs
2008,Cole Edward McConchie,1992-01-12,32,Right hand Bat,Right arm Offbreak,Allrounder,5,NewZealand,9,2021-2023,84,31,21.0,0,7,22.71,0,1,0,-1.71,3,5,3,15,2
2014,Adam Fraser Milne,1992-04-13,31,Right hand Bat,Right arm Fast,Bowler,12,NewZealand,50,2010-2024,83,16,9.22,0,57,24.75,1,11,0,-15.53,30,16,5,26,14
2015,Daryl Joseph Mitchell,1991-05-20,32,Right hand Bat,Right arm Medium,Batting Allrounder,7,NewZealand,63,2019-2024,1260,72,26.25,0,8,18.5,0,30,0,7.75,36,21,2,27,5
2018,Colin Munro,1987-03-11,36,Left hand Bat,Right arm Medium fast,Opening Batter,28,NewZealand,65,2012-2020,1724,109,31.34,3,4,46.5,0,19,0,-15.15,32,28,1,12,8
2021,James Douglas Sheahan Neesham,1990-09-17,33,Left hand Bat,Right arm Medium fast,Batting Allrounder,30,NewZealand,72,2012-2023,900,48,23.07,0,36,28.25,0,32,0,-5.17,45,22,3,16,11
2023,Thamsyn Michelle Moupia Newton,1995-06-03,28,Right hand Bat,Right arm Medium,Bowler,3,NewZealand,15,2015-2021,22,14,5.5,0,9,14.0,0,8,0,-8.5,10,4,3,9,6
2026,Robert James Nicol,1983-05-28,40,Right hand Bat,"Right arm Medium, Right arm Offbreak",Opening Batter,6,NewZealand,21,2010-2013,327,58,17.21,0,5,33.4,0,5,0,-16.18,8,10,2,20,3
2034,Ajaz Yunus Patel,1988-10-21,35,Left hand Bat,Slow Left arm Orthodox,Bowler,7,NewZealand,7,2018-2021,7,4,3.5,0,11,10.72,0,0,0,-7.22,2,5,4,16,3
2035,Molly Mae Penfold,2001-06-15,22,Right hand Bat,Right arm Medium,Bowler,2,NewZealand,7,2022-2023,3,2,1.5,0,5,26.2,0,1,0,-24.7,4,3,2,17,1
2038,Anna Michelle Peterson,1990-09-12,33,Right hand Bat,Right arm Offbreak,Top order Batter,3,NewZealand,33,2015-2020,92,15,6.13,0,18,23.72,0,8,0,-17.58,23,10,3,2,5
2040,Glenn Dominic Phillips,1996-12-06,27,Right hand Bat,Right arm Offbreak,Allrounder,10,NewZealand,71,2017-2024,1716,108,31.77,2,2,52.0,0,46,2,-20.22,41,26,1,11,7
