,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,Country,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,BBI_wickets,BBI_runs,career_span_yrs
2650,Dasanayaka Mudiyanselage Sugandika Manel Kumari,1991-10-05,32,Left hand Bat,Slow Left arm Orthodox,Bowler,5,SriLanka,68,2015-2023,87,10,5.8,0,47,28.59,0,15,0,-22.79,24,43,3,17,8
2653,Ranasinghe Arachchige Suranga Lakmal,1987-03-10,36,Right hand Bat,Right arm Fast medium,Bowler,8,SriLanka,11,2011-2019,7,5,2.33,0,8,41.25,0,3,0,-38.91,4,7,2,26,8
2670,Lokumarakkalage Dilshan Madushanka,2000-09-18,23,Right hand Bat,Left arm Fast medium,Bowler,9,SriLanka,13,2022-2024,2,1,0.66,0,14,28.5,0,4,0,-27.83,7,5,3,24,2
2675,Mohamed Farveez Maharoof,1984-09-07,39,Right hand Bat,Right arm Fast medium,Allrounder,16,SriLanka,8,2006-2016,33,13,8.25,0,7,28.42,0,2,0,-20.17,5,3,2,18,10
2677,Separamadu Lasith Malinga,1983-08-28,40,Right hand Bat,Right arm Fast,Bowler,29,SriLanka,84,2006-2020,136,27,6.47,0,107,20.79,2,21,0,-14.31,41,40,5,6,14
2681,Angelo Davis Mathews,1987-06-02,36,Right hand Bat,Right arm Medium,Allrounder,15,SriLanka,84,2009-2024,1312,81,27.33,0,43,30.44,0,24,0,-3.1,44,38,3,16,15
2683,Balapuwaduge Ajantha Winslow Mendis,1985-03-11,38,Right hand Bat,Right arm Offbreak,Bowler,12,SriLanka,39,2008-2014,8,4,2.66,0,66,14.42,2,6,0,-11.75,25,13,6,8,6
2695,Eldeniya Medagedara Dilshan Yasika Munaweera,1989-04-24,34,Right hand Bat,Right arm Offbreak,Opening Batter,20,SriLanka,13,2012-2017,215,53,17.91,0,1,92.0,0,1,0,-74.08,5,7,1,26,5
2710,Matheesha Pathirana,2002-12-18,21,Right hand Bat,Right arm Fast,Bowler,10,SriLanka,4,2022-2024,10,5,10.0,0,8,13.0,0,1,0,-3.0,2,2,4,24,2
2728,Narangoda Liyanaarachchilage Thisara Chirantha Perera,1989-04-03,34,Left hand Bat,Right arm Medium fast,Bowling Allrounder,29,SriLanka,84,2010-2021,1204,61,23.15,0,51,33.66,0,30,0,-10.51,34,47,3,24,11
2737,Kaluwa Dewage Udeshika Prabodhani,1985-09-20,38,Right hand Bat,Left arm Medium,Bowler,4,SriLanka,89,2009-2023,115,14,6.05,0,66,22.78,0,18,0,-16.73,26,60,3,16,14
2740,Seekkuge Prasanna,1985-06-27,38,Right hand Bat,Legbreak,Allrounder,32,SriLanka,20,2013-2017,214,37,15.28,0,10,35.9,0,4,0,-20.61,9,11,2,45,4
2753,Chandrasekara Arachchilage Kasun Rajitha,1993-06-01,30,Right hand Bat,Right arm Medium fast,Bowler,8,SriLanka,18,2016-2023,31,9,10.33,0,17,36.17,0,1,0,-25.84,7,11,3,29,7
2756,Ramith Laksen Bandara Rambukwella,1991-09-08,32,Left hand Bat,Right arm Offbreak,Opening Batter,6,SriLanka,2,2013-2016,19,19,19.0,0,1,46.0,0,0,0,-27.0,1,1,1,19,3
2757,Oshadi Udeshika Ranasinghe,1986-03-16,37,Left hand Bat,Right arm Offbreak,Bowling Allrounder,3,SriLanka,66,2013-2023,404,34,9.61,0,58,23.5,0,11,0,-13.88,19,47,3,18,10
2762,Inoka Ranaweera,1986-02-18,37,Left hand Bat,Slow Left arm Orthodox,Bowler,3,SriLanka,78,2012-2023,63,18,5.72,0,88,17.57,0,11,0,-11.85,28,50,4,7,11
2780,Paththamperuma Arachchige Don Lakshan Rangika Sandakan,1991-06-10,32,Right hand Bat,Left arm Wrist spin,Bowler,8,SriLanka,20,2017-2021,23,10,7.66,0,23,24.21,0,6,0,-16.55,9,11,4,23,4
2783,Jayasundara Ranasinghe Mudiyanselage Vikum Bandara Sanjaya,1992-02-10,32,Right hand Bat,Right arm Fast medium,Bowler,5,SriLanka,8,2017-2017,20,6,6.66,0,9,27.77,0,1,0,-21.11,3,5,2,20,0
2789,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,1985-02-09,39,Right hand Bat,Right arm Offbreak,Bowler,8,SriLanka,24,2012-2016,56,17,9.33,0,25,21.96,0,3,0,-12.62,14,10,4,46,4
2794,Madagamagamage Dasun Shanaka,1991-09-09,32,Right hand Bat,Right arm Medium,Allrounder,16,SriLanka,94,2015-2024,1405,74,20.66,0,28,21.92,0,35,0,-1.26,33,58,3,16,9
2798,Malsha Shehani,1995-06-05,28,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Bowler,4,SriLanka,12,2018-2023,47,14,5.22,0,4,25.0,0,1,0,-19.77,5,7,4,2,5
2803,Nishshanka Nilakshika Damayanthi Silva,1989-09-27,34,Right hand Bat,Right arm Slow medium,Middle order Batter,5,SriLanka,79,2013-2023,895,63,16.88,0,11,22.45,0,34,0,-5.56,27,51,3,13,10
2806,Tisse Appuhamilage Milinda Siriwardana,1985-12-04,38,Left hand Bat,Slow Left arm Orthodox,Allrounder,19,SriLanka,22,2015-2017,275,42,17.18,0,8,25.75,0,6,0,-8.56,7,15,2,17,2
2818,Morawakage Maheesh Theekshana,2000-08-01,23,Right hand Bat,Right arm Offbreak,Bowler,11,SriLanka,43,2021-2024,36,11,3.6,0,42,25.95,0,12,0,-22.35,20,21,3,17,3
2824,Ilandari Dewage Nuwan Thushara,1994-08-06,29,Right hand Bat,Right arm Medium fast,Bowler,9,SriLanka,7,2022-2024,8,6,8.0,0,6,32.83,0,0,0,-24.83,1,5,4,17,2
2829,Isuru Udana Tillakaratna,1988-02-17,35,Right hand Bat,Left arm Medium fast,Allrounder,40,SriLanka,35,2009-2021,256,84,18.28,0,27,33.88,0,4,0,-15.6,13,20,3,11,12
2874,Fabian Anthony Allen,1995-05-07,28,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,22,WestIndies,34,2018-2022,267,34,16.68,0,24,26.91,0,22,0,-10.22,16,17,2,18,4
2875,Aaliyah Alicia Alleyne,1994-11-11,29,Right hand Bat,Right arm Medium,Bowler,3,WestIndies,34,2019-2023,255,49,12.14,0,10,53.3,0,5,0,-41.15,11,21,2,16,4
2890,Christopher Dion Barnwell,1987-01-06,37,Right hand Bat,Right arm Medium fast,Allrounder,9,WestIndies,6,2011-2013,78,34,19.5,0,1,51.0,0,2,0,-31.5,3,3,1,24,2
2896,Devendra Bishoo,1985-11-06,38,Left hand Bat,Legbreak,Bowler,12,WestIndies,7,2011-2019,17,8,8.5,0,7,19.57,0,1,0,-11.07,2,5,4,17,8
2904,Carlos Ricardo Brathwaite,1988-07-18,35,Right hand Bat,Right arm Fast medium,Allrounder,29,WestIndies,41,2011-2019,310,37,14.76,0,31,32.67,0,19,0,-17.91,16,23,3,20,8
2906,Dwayne John Bravo,1983-10-07,40,Right hand Bat,Right arm Medium,Allrounder,43,WestIndies,91,2006-2021,1255,66,22.01,0,78,26.1,0,44,0,-4.08,45,39,4,19,15
2911,Shemaine Altia Campbelle,1992-10-14,31,Right hand Bat,Right arm Medium fast,Middle order Batter,3,WestIndies,125,2009-2023,1088,47,14.5,0,34,19.88,0,30,18,-5.37,61,57,3,7,14
2920,Roston Lamar Chase,1992-03-22,31,Right hand Bat,Right arm Offbreak,Allrounder,8,WestIndies,11,2021-2024,111,39,15.85,0,9,22.22,0,4,0,-6.36,5,6,3,25,3
2926,Shamilia Shontell Connell,1992-07-14,31,Right hand Bat,Right arm Fast,Bowler,5,WestIndies,69,2014-2023,50,15,8.33,0,49,28.4,0,14,0,-20.07,32,34,3,14,9
2931,Sheldon Shane Cottrell,1989-08-19,34,Right hand Bat,Left arm Fast medium,Bowler,14,WestIndies,45,2014-2023,18,4,4.5,0,52,23.92,0,19,0,-19.42,18,23,4,28,9
2946,Deandra Jalisa Shakira Dottin,1991-06-21,32,Right hand Bat,Right arm Fast medium,Allrounder,10,WestIndies,127,2008-2022,2697,112,25.68,2,62,19.19,1,32,0,6.49,72,48,5,5,14
2948,Dominic Conneil Drakes,1998-02-06,26,Left hand Bat,Left arm Medium fast,Bowling Allrounder,13,WestIndies,10,2021-2022,15,5,3.0,0,6,48.33,0,2,0,-45.33,2,8,1,19,1
2957,Afy Samantha Sharlyn Fletcher,1987-03-17,36,Right hand Bat,Legbreak,Bowler,2,WestIndies,74,2008-2023,162,19,7.71,0,57,23.8,1,11,0,-16.09,33,39,5,13,15
2959,Cherry-Ann Sarah Fraser,1999-07-21,24,Left hand Bat,Right arm Medium fast,Allrounder,3,WestIndies,12,2020-2023,22,8,4.4,0,9,23.77,0,2,0,-19.37,3,8,3,20,3
2964,Shabika Gajnabi,2000-07-14,23,Right hand Bat,Right arm Medium,Bowler,2,WestIndies,31,2019-2023,238,33,9.91,0,3,52.66,0,14,0,-42.75,7,23,1,8,4
2978,Chinelle Akhalia Henry,1995-08-17,28,Right hand Bat,Right arm Medium fast,Middle order Batter,3,WestIndies,47,2013-2023,365,34,13.51,0,16,34.62,0,27,0,-21.1,18,27,3,26,10
2981,Jason Omar Holder,1991-11-05,32,Right hand Bat,Right arm Medium fast,Bowling Allrounder,23,WestIndies,63,2014-2024,491,38,16.36,0,66,28.87,1,27,0,-12.51,22,38,5,27,10
2986,Akeal Jerome Hosein,1993-04-25,30,Left hand Bat,Slow Left arm Orthodox,Bowler,18,WestIndies,47,2021-2024,175,44,19.44,0,38,31.44,0,13,0,-12.0,17,26,4,30,3
3001,Alzarri Shaheim Joseph,1996-11-20,27,Right hand Bat,Right arm Fast,Bowler,13,WestIndies,22,2022-2024,55,14,27.5,0,35,21.45,1,7,0,6.04,11,11,5,40,2
3016,Lee-Ann Giselle Laureel Kirby,1987-04-07,36,Right hand Bat,Right arm Slow medium,Middle order Batter,3,WestIndies,9,2008-2020,59,20,7.37,0,1,8.0,0,4,0,-0.62,3,6,1,8,12
3033,Hayley Kristen Matthews,1998-03-19,25,Right hand Bat,Right arm Offbreak,Opening Batter,9,WestIndies,88,2014-2023,2026,132,24.4,2,91,17.09,0,34,0,7.31,38,46,4,10,9
3036,Obed  Christopher McCoy,1997-01-04,27,Left hand Bat,Left arm Fast medium,Bowler,10,WestIndies,31,2019-2023,63,23,10.5,0,41,21.36,1,4,0,-10.86,12,18,6,17,4
3043,Anisa Mohammed,1988-09-07,35,Right hand Bat,Right arm Offbreak,Bowler,3,WestIndies,117,2008-2021,152,20,7.23,0,125,17.64,3,27,0,-10.4,63,46,5,10,13
3051,Sunil Philip Narine,1988-05-26,35,Left hand Bat,Right arm Offbreak,Bowling Allrounder,21,WestIndies,51,2012-2019,155,30,10.33,0,52,21.25,0,7,0,-10.91,24,23,4,12,7
3056,Ashley Renaldo Nurse,1988-12-22,35,Right hand Bat,Right arm Offbreak,Bowler,11,WestIndies,13,2011-2019,85,20,42.5,0,8,39.75,0,6,0,2.75,5,7,2,6,8
3065,Keemo Mandela Angus Paul,1998-02-21,25,Right hand Bat,Right arm Fast medium,Allrounder,14,WestIndies,23,2018-2022,187,29,20.77,0,25,28.0,1,3,0,-7.22,5,18,5,15,4
3073,Kieron Adrian Pollard,1987-05-12,36,Right hand Bat,Right arm Medium,Batting Allrounder,35,WestIndies,101,2008-2022,1569,75,25.3,0,42,28.28,0,42,0,-2.97,38,53,4,25,14
3077,Rovman Powell,1993-07-23,30,Right hand Bat,Right arm Medium fast,Middle order Batter,17,WestIndies,71,2017-2024,1312,107,26.24,1,5,41.2,0,33,0,-14.96,28,40,2,31,7
3082,Karishma Ramharack,1995-01-20,29,Left hand Bat,Right arm Offbreak,Bowler,3,WestIndies,25,2019-2023,11,3,5.5,0,18,26.16,0,4,0,-20.66,7,17,3,8,4
3083,Ravindranath Rampaul,1984-10-15,39,Left hand Bat,Right arm Fast medium,Bowler,10,WestIndies,27,2007-2021,15,8,7.5,0,31,25.9,0,2,0,-18.4,11,14,3,16,14
3084,Raymon Anton Reifer,1991-05-11,32,Left hand Bat,Left arm Medium fast,Allrounder,12,WestIndies,3,2022-2023,46,27,23.0,0,1,60.0,0,0,0,-37.0,1,2,1,42,1
3088,Andre Dwayne Russell,1988-04-29,35,Right hand Bat,Right arm Fast,Allrounder,35,WestIndies,75,2011-2024,955,71,21.7,0,49,34.14,0,18,0,-12.43,40,28,3,19,13
3089,Sherfane Eviston Rutherford,1998-08-15,25,Left hand Bat,Right arm Fast medium,Middle order Batter,21,WestIndies,12,2018-2024,212,67,23.55,0,1,72.0,0,3,0,-48.44,5,6,1,21,6
3091,Daren Julius Garvey Sammy,1983-12-20,40,Right hand Bat,Right arm Medium,Allrounder,18,WestIndies,68,2007-2017,587,42,17.26,0,44,25.36,1,31,0,-8.09,36,29,5,26,10
3102,Shakera Casandra Selman,1989-09-01,34,Right hand Bat,Right arm Medium,Bowler,6,WestIndies,96,2008-2023,61,12,8.71,0,51,28.23,0,26,0,-19.52,49,41,3,23,15
3104,Romario Shepherd,1994-11-26,29,Right hand Bat,Right arm Fast medium,Bowling Allrounder,11,WestIndies,35,2020-2024,317,44,28.81,0,37,28.64,0,7,0,0.16,14,16,4,31,4
3108,Lendl Mark Platter Simmons,1985-01-25,39,Right hand Bat,Right arm Medium fast,Top order Batter,29,WestIndies,68,2007-2021,1527,91,26.78,0,6,12.0,0,35,0,14.78,33,31,4,19,14
3109,Kevin Sinclair,1999-11-23,24,Right hand Bat,Right arm Offbreak,Bowler,4,WestIndies,6,2021-2021,3,3,3.0,0,4,37.5,0,3,0,-34.5,3,3,2,23,0
3113,Dwayne Romel Smith,1983-04-12,40,Right hand Bat,Right arm Medium,Allrounder,20,WestIndies,33,2006-2015,582,72,18.18,0,7,30.28,0,8,0,-12.09,15,16,3,24,9
3114,Odean Fabian Smith,1996-11-01,27,Right hand Bat,Right arm Fast medium,Bowling Allrounder,17,WestIndies,27,2018-2023,193,27,14.84,0,27,28.59,0,12,0,-13.74,8,18,3,29,5
3121,Jerome Everton Taylor,1984-06-22,39,Right hand Bat,Right arm Fast,Bowler,14,WestIndies,30,2006-2018,118,21,13.11,0,33,26.15,0,9,0,-13.04,13,15,3,6,12
3122,Stafanie Roxann Taylor,1991-06-11,32,Right hand Bat,Right arm Offbreak,Allrounder,6,WestIndies,117,2008-2023,3236,90,35.17,0,98,16.72,0,36,0,18.44,66,48,4,12,15
3124,Oshane Romaine Thomas,1997-02-18,26,Left hand Bat,Right arm Fast,Bowler,15,WestIndies,21,2018-2023,9,8,2.25,0,21,30.38,1,2,0,-28.13,6,14,5,28,5
3129,Hayden Rashidi Walsh,1992-04-23,31,Left hand Bat,Legbreak Googly,Bowler,11,WestIndies,38,2019-2022,150,28,15.0,0,31,26.58,0,9,0,-11.58,12,19,3,23,3
3140,Kesrick Omari Kenal Williams,1990-01-17,34,Right hand Bat,Right arm Fast medium,Bowler,12,WestIndies,26,2016-2020,19,13,6.33,0,41,19.63,0,8,0,-13.3,10,15,4,28,4
3145,Zaida Amiya James,2004-10-30,19,Left hand Bat,Slow Left arm Orthodox,Allrounder,5,WestIndies,10,2023-2023,23,21,7.66,0,1,123.0,0,2,0,-115.33,6,4,1,34,0
3151,Brian John Bennett,2003-11-10,20,Right hand Bat,Right arm Offbreak,Allrounder,3,Zimbabwe,6,2023-2024,92,29,18.4,0,1,4.0,0,1,0,14.4,2,4,1,4,1
3156,Ryan Ponsonby Burl,1994-04-15,29,Left hand Bat,Legbreak,Middle order Batter,12,Zimbabwe,74,2018-2024,1156,57,26.88,0,49,21.3,0,39,0,5.57,31,41,3,13,6
3162,Tendai Larry Chatara,1991-02-28,32,Right hand Bat,Right arm Fast medium,Bowler,14,Zimbabwe,56,2010-2023,49,8,8.16,0,62,23.38,0,7,0,-15.22,23,31,3,7,13
3165,Chamunorwa Justice Chibhabha,1986-09-06,37,Right hand Bat,Right arm Medium,Top order Batter,17,Zimbabwe,36,2006-2020,667,67,19.05,0,14,32.5,0,9,0,-13.44,4,31,3,18,14
3167,Elton Chigumbura,1986-03-14,37,Right hand Bat,Right arm Fast medium,Allrounder,14,Zimbabwe,57,2006-2020,893,54,19.0,0,16,26.68,0,22,0,-7.68,10,45,4,31,14
3182,Tendai Sam Chisoro,1988-02-12,36,Left hand Bat,"Left arm Fast medium, Slow Left arm Orthodox",Bowler,9,Zimbabwe,14,2015-2020,43,14,10.75,0,12,30.66,0,1,0,-19.91,3,11,3,17,5
3190,Alexander Graeme Cremer,1986-09-19,37,Right hand Bat,Legbreak Googly,Bowler,7,Zimbabwe,29,2008-2018,68,17,5.23,0,35,18.85,0,6,0,-13.62,7,22,3,11,10
3203,Brad Evans,1997-03-24,26,Right hand Bat,Right arm Fast,Allrounder,4,Zimbabwe,8,2022-2023,41,19,10.25,0,6,29.66,0,1,0,-19.41,4,4,2,25,1
3226,Kyle Malcolm Jarvis,1989-02-16,34,Right hand Bat,Right arm Fast medium,Bowler,15,Zimbabwe,22,2011-2019,55,27,7.85,0,28,23.75,0,5,0,-15.89,2,19,3,15,8
3229,Luke Mafuwa Jongwe,1995-02-06,29,Right hand Bat,Right arm Fast medium,Allrounder,7,Zimbabwe,58,2015-2024,468,35,17.33,0,58,21.6,0,13,0,-4.27,28,29,4,18,9
3246,Natsai M'shangwe,1991-02-09,33,Right hand Bat,Legbreak,Bowler,6,Zimbabwe,5,2013-2014,5,5,5.0,0,4,35.5,0,1,0,-30.5,2,3,2,33,1
3250,Wessly Nyasha Madhevere,2000-09-04,23,Right hand Bat,Right arm Offbreak,Allrounder,7,Zimbabwe,60,2020-2023,1047,73,20.94,0,13,35.76,0,23,0,-14.82,26,33,2,8,3
3251,Neville Madziva,1991-08-02,32,Right hand Bat,Right arm Medium fast,Allrounder,9,Zimbabwe,15,2015-2019,88,28,17.6,0,12,34.75,0,4,0,-17.15,5,10,4,34,4
3260,Timycen Hlahla Maruma,1988-04-19,35,Right hand Bat,Legbreak Googly,Top order Batter,14,Zimbabwe,13,2008-2019,100,23,11.11,0,1,20.0,0,5,0,-8.88,3,9,1,8,11
3262,Hamilton Masakadza,1983-08-09,40,Right hand Bat,Right arm Medium,Top order Batter,10,Zimbabwe,66,2006-2019,1662,93,25.96,0,2,56.5,0,25,0,-30.53,14,50,1,4,13
3263,Shingirai Winston Masakadza,1986-09-04,37,Right hand Bat,Right arm Fast medium,Bowler,4,Zimbabwe,7,2010-2013,18,9,4.5,0,4,52.75,0,2,0,-48.25,1,6,2,39,3
3264,Wellington Pedzisai Masakadza,1993-10-04,30,Left hand Bat,Slow Left arm Orthodox,Bowler,10,Zimbabwe,46,2015-2024,107,19,6.68,0,38,26.89,0,25,0,-20.2,20,26,4,11,9
3275,Kelis Tanyaradzwa Ndhlovu,2005-11-16,18,Left hand Bat,"Slow Left arm Orthodox, Slow Left arm Orthodox",Allrounder,1,Zimbabwe,28,2022-2024,518,58,23.54,0,27,16.74,0,2,0,6.8,18,10,3,15,2
3278,Ainsley Ndlovu,1996-01-26,28,Right hand Bat,Slow Left arm Orthodox,Bowler,9,Zimbabwe,10,2019-2023,28,13,14.0,0,3,83.0,0,4,0,-69.0,3,7,1,14,4
3295,Tinashe Panyangara,1985-10-21,38,Right hand Bat,Right arm Fast medium,Bowler,5,Zimbabwe,14,2013-2016,23,17,23.0,0,20,19.9,0,2,0,3.1,6,8,4,37,3
3312,Milton Shumba,2000-10-19,23,Left hand Bat,Slow Left arm Orthodox,Top order Batter,3,Zimbabwe,30,2020-2022,385,66,20.26,0,4,25.75,0,18,0,-5.48,16,13,3,16,2
3316,Sikandar Raza Butt,1986-04-24,37,Right hand Bat,Right arm Offbreak,Batting Allrounder,38,Zimbabwe,81,2013-2024,1854,87,25.39,0,58,22.91,0,36,0,2.48,32,47,4,8,11
3327,Brendan Ross Murray Taylor,1986-02-06,38,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,14,Zimbabwe,45,2006-2021,934,75,23.94,0,1,17.0,0,20,2,6.94,8,36,1,16,15
3334,Prosper Utseya,1985-03-26,38,Right hand Bat,Right arm Offbreak,Bowler,11,Zimbabwe,35,2006-2015,94,13,7.83,0,26,33.0,0,6,0,-25.16,7,27,3,25,9
3340,Sean Colin Williams,1986-09-26,37,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,14,Zimbabwe,79,2006-2024,1691,66,23.81,0,48,28.37,0,27,0,-4.55,32,45,3,15,18
3343,Cephas Zhuwao,1984-12-15,39,Left hand Bat,Slow Left arm Orthodox,Batter,5,Zimbabwe,7,2008-2018,48,24,6.85,0,1,1.0,0,2,0,5.85,1,5,1,1,10
